,company_id,company_name,short_description,long_description,batch,status,tags,location,country,year_founded,num_founders,founders_names,team_size,website,cb_url,linkedin_url,batch_year,invested_after,yc_reason
21,28216,Escape,Business Logic Security Testing for Developers & Security Teams,Find and fix business logic vulnerabilities in your applications in CI/CD before production — powered by Escape’s industry-leading API security intelligence.,W23,Active,"['Developer Tools', 'Security', 'API', 'GraphQL']",San Francisco,US,2020,2,"['Tristan Kalos', 'Antoine Carossio']",6.0,https://escape.tech,https://www.crunchbase.com/organization/escape-b74e,https://www.linkedin.com/company/escapetech,2023,3,Co-founder got enterpreunership prizes in 2018 & 2020; possibly hunted ~10 years experience DevSecOps AI/ML Leader (however he doesnt list this company in his work experienec in linkedin)
30,28128,Drift Bio,The operating system for life sciences data,"Drift Bio makes software to help life sciences companies collaborate and manage their workflows and biological data. Using Drift's software, companies can quickly upload their data, create and manage workflows, keep their data in one place, and share with others. All without having to manage any infrastructure or engineer a solution.",W23,Active,"['SaaS', 'B2B', 'Biotech', 'Genomics']",San Francisco,US,2020,2,"['Evan Zimmerman', 'Len Boyette']",2.0,https://driftbio.com,,https://www.linkedin.com/company/drift-bio,2023,3,mismatch in compendium & linkedin?
31,28119,Fabius,AI to improve Sales Calls,"Fabius helps sales leaders understand and improve their reps' performance by analyzing customer calls with AI. Companies like Airbyte and Fermat use us to score every call and identify when a customer hasn’t been properly qualified.

Fabius helps drive decisions within sales, including:
- Disqualify a deal: Reps work on deals that will never close. We identify the deals that won't be successful and make sure reps don't waste time on them.
- Need to strengthen the business case for a deal: We tell managers and reps when a deal has a weak business case and show them how to uncover more business value in the deal.",W23,Active,"['Generative AI', 'SaaS', 'B2B', 'Sales', 'AI']",San Francisco,US,2020,2,"['Neil Madsen', 'Andy Day']",2.0,https://fabius.io,https://www.crunchbase.com/organization/fabius-66e4,https://www.linkedin.com/company/fabius-technologies/,2023,3,"2+ years of work, after that integrated to tech stack compilation (Gong) for sales and published their client for interaction with OpenAI API"
43,28093,Common Paper,The SAFE for commercial contracts,"Common Paper is a contracting platform that helps startups close deals with their customers faster and with less risk.

We create standard, open-source contracts for commercial transactions, including NDAs, DPAs, and sales agreements. These are analogous to the SAFE, but are between customers and vendors rather than investors and startups. The standardized format means that data within contracts is structured from inception. 

We build software for managing standard contracts, accelerating sales cycles, and making the data within the contracts programmatically accessible to other business systems.

Thousands of people have downloaded our standard contracts, and 63% of the contracts on our system close within 24 hours.",W23,Active,"['SaaS', 'Open Source', 'Sales', 'LegalTech', 'API']","Philadelphia, PA",US,2020,2,"['Benjamin Garvey', 'Jake Stein']",9.0,https://commonpaper.com/,https://www.crunchbase.com/organization/common-paper,https://www.linkedin.com/company/common-paper,2023,3,"started campaign on ProductHunt with release of main free toolkit, got 150 US-based B2B SaaS company using their product by the time of application in YC"
51,28087,Rivet,Heroku for multiplayer games,"Rivet is a multiplayer development platform that provides managed game servers, matchmaking, and DDoS mitigation that lets game developers focus on building their games. Developers can use simple APIs to deploy multiplayer games with any major game engine in 4 lines of code with 1-click deploys.",W23,Active,"['SaaS', 'B2B', 'Gaming', 'Social']",San Francisco,US,2019,2,"['Nicholas Kissel', 'Nathaniel Flurry']",2.0,https://rivet.gg,https://www.crunchbase.com/organization/rivet-d09f,https://www.linkedin.com/company/rivet-gg,2023,4,"first cofounder: WWDC scholarship & full time working on the startup, second cofounder: mainly worked in gamedev industry, switched full time closely by the time of application to YC"
65,28045,Peeba,Risk-free wholesale for retailers across Southeast Asia,"Peeba is a one-stop B2B wholesale marketplace that is changing the way retailers across Asia purchase inventory. We’ve streamlined the buying process, making it easier than ever for independent retailers to buy top-selling products from unique brands for their stores.",W23,Active,"['Fintech', 'Marketplace', 'B2B', 'Retail']","Jakarta, Indonesia",ID,2020,2,"['Jacky Lai', 'Kevin Cho']",30.0,http://peeba.com/,https://www.crunchbase.com/organization/Peeba,https://www.linkedin.com/company/peeba,2023,3,founder is 10+ years board member of Asian goods manufacturers
69,28073,PlayHT,Generate or clone voices and turn any text into human-like speech.,"PlayHT allows anyone to generate truly human-like speech from text using a voice clone or an AI generated voice. We help media companies scale and automate their content creation with our ultra realistic and high fidelity generative voices.
We launched the first LLM for Speech Synthesis 4 months ago along with our AI-generated podcast https://podcast.ai.",W23,Active,['Generative AI'],Mountain View,US,2019,2,"['Hammad Syed', 'Mahmoud felfel']",25.0,https://play.ht/,,https://www.linkedin.com/company/play-ht/,2023,4,"first co-founder: worked as SWE in WhatsApp for almost 2 years, switched to full time startup by the time of application; second co-founder: full time startup"
105,27949,SPRX,AI for corporate R&D tax credits,"SPRX uses AI to prepare corporate R&D tax credits.

With our technology, anyone can prepare an R&D Tax Credit accurately and fast. To provide some background, the R&D Credit is often cited as the most complex and audited tax credit in the United States. With that in mind, we set out to create software to achieve two primary objectives:

1. Ensure that any credit computed with our software is exactly what the IRS is asking for in terms of quality.

2. Democratize the ability to perform high quality R&D Credit studies extremely fast.",W23,Active,[],,,2020,2,"['Dominic Vitucci', 'Mark Andrus']",3.0,https://sprx.tax,,https://www.linkedin.com/company/sprx-technologies/,2023,3,"in 2021 founder hunted ~25 years experience pioneer in this field, were building tech stack"
140,27838,Flower,Train AI on distributed data,"Flower is an open-source framework for training AI on distributed data using federated learning. Companies like Banking Circle, Nokia, Porsche, and Brave use Flower to easily improve their AI models on sensitive data that is distributed across organizational silos or user devices. Almost all AI today is based on centralized public data — a small fraction of the data we have; we believe that training on orders of magnitude more data will unlock the next leaps in AI.",W23,Active,"['Developer Tools', 'Generative AI', 'Open Source', 'Privacy', 'AI']","Hamburg, Germany",DE,2020,3,"['Daniel J. Beutel', 'Nic Lane', 'Taner Topal']",5.0,https://flower.dev,,https://www.linkedin.com/company/flwrlabs,2023,3,"founders are professors and/or researchers in Cambridge, most has 10+ years of experience in SWE and DL"
252,27168,ReleviumBio,Platform injectable gel based biotherapeutic for osteoarthritis,"ReleviumBio is developing an injectable gel for knee osteoarthritis. Approximately half the population will be diagnosed with this pain and progressive disease.
Right now, patients have to undergo not only repeat injections to control their pain, but also have to take strong oral medications. Because the disease is progressive and only gets worse over time, many patients end up on highly addictive, high-dose opioids. 
To date, we have secured $3.7 million in non dilutive funding and completed preclinical testing. We demonstrated that our drug is safe, selectively blocks nerves that transmit pain, and provides pain relief that lasts four times as long. 
My co-founder and I are Chemists with PhDs in Biomedical Engineering and we have an experienced leadership team already in place.
Insurance currently pays $770 per six-monthly treatment for knee osteoarthritis. With 5 million patients in the US, this represents a $7.7 Bn market opportunity.
This platform biotherapeutic can also be used to treat other joints affects by osteoarthritis such as the hip and ankle, where the same problems exist in treatment care. ",S22,Active,"['Medical Devices', 'Biotech', 'Healthcare', 'Therapeutics', 'Drug discovery']","Galway, Ireland",IE,2019,2,"['Alison Liddy', 'Barry McDermott']",4.0,https://www.releviumbio.com,,https://www.linkedin.com/company/releviumbio/,2022,3,"founders are 10+ years researchers from Ireland university, started with inner biotech acceleration programs"
279,27096,Relate,Simple sales CRM for startups and SMBs.,"Relate is a simple, collaborative sales CRM for startups and SMBs.",S22,Active,"['SaaS', 'B2B', 'Sales', 'CRM']",San Francisco,US,2019,3,"['Christopher Chae', 'Sangyong Jung', 'Arthur (Hyun June) Kim']",7.0,https://www.relate.so/,https://www.crunchbase.com/organization/pixelic,https://www.linkedin.com/company/relatecrm/,2022,3,"five failed YC applications, one successful, founders with 5+ years of expertise"
