xid,#,Companies,Company ID,Deal ID,Deal Date,Announced Date,Deal Size,Pre-money Valuation,Post Valuation,% Acquired,Price per Share,Debt Raised in Round,Raised to Date,Deal Class,Deal Type,Deal Size Status,Post Valuation Status,Investors,New Investors,Lead/Sole Investors,Employees,Revenue Growth since last debt deal,Revenue,EBITDA,Total Debt (from financials),Deal Synopsis,Financing Status Note,CEO (at time of deal),CEO PBId
48635,48386,Parakey (Software Development Applications),52732-99,19117-54T,17/11/2006 00:00,,1.56,13.27,14.83,0.1054,1.47,,1.56,Venture Capital,Early Stage VC,Actual,Actual,"{'42715-09': 'Baseline Ventures', '10521-55': 'DFO Management', '11263-87': ""O'Reilly AlphaTech Ventures"", '11295-73': 'Sequoia Capital', '106124-86': 'Steve Anderson (Steve Anderson)', '40995-55': 'Thomvest Ventures', '40420-36': 'Y Combinator'}","Baseline Ventures, DFO Management, O'Reilly AlphaTech Ventures, Sequoia Capital, Steve Anderson, Thomvest Ventures, Y Combinator",,,,,,,"The company raised $1.56 million of Series A funding from Sequoia Capital, O'Reilly AlphaTech Ventures, MSD Capital, YCombinator, Thomvest, Paul Buchheit, Ron Conway and Warren Zide on November 17, 2006, putting the pre-money valuation at $13.27 million.","The company was acquired by Facebook (NASDAQ: FB) on July 19, 2007 for an undisclosed amount. The company is no longer actively tracked by PitchBook.",{'62492-86P': 'Blake Ross'},62492-86P
58836,58587,Snaptalent,61729-75,32010-85T,01/01/2008 00:00,,2,4.03,6.03,0.3316,0.4,,2,Venture Capital,Seed Round,Actual,Actual,"{'51007-51': 'Betaworks', '42715-00': 'Felicis', '11216-98': 'Index Ventures', '106614-91': 'Saul Klein (Saul Klein)', '51125-14': 'The Acceleration Group', '48176-38': 'Uncork Capital', '40420-36': 'Y Combinator'}","Betaworks, Felicis, Index Ventures, Saul Klein, The Acceleration Group, Uncork Capital, Y Combinator",,,,,,,"The company joined Y Combinator as part of the Winter 2008 Class. The company raised $2 million of Series A seed funding from Y Combinator, Betaworks, Index Ventures (UK), SoftTech VC, Felicis Ventures Management Company and individual investors: Saul Klein, Robby Walker and Wayne Crosby in January 2008, putting the pre-money valuation at $4 million.","The company is no longer actively in business as of April 24, 2009. The company is no longer actively tracked by PitchBook.",,
60141,59892,FriendFeed,41728-33,19653-94T,25/02/2008 00:00,,5,,,,,,5,Venture Capital,Early Stage VC,Actual,,"{'11133-01': 'Benchmark (San Francisco)', '40420-36': 'Y Combinator (Paul Buchheit)'}","Benchmark (San Francisco), Y Combinator",,,,,,,"The company raised $5 million of Series A venture funding from Becnhmark Capital, Y Combinator and Sanjeev Singh on February 25, 2008.","The company was acquired by Facebook for $50 million on August 10, 2009. Facebook is backed by Accel Partners, Digital Sky Technologies, Elevation Partners, General Atlantic, Goldman Sachs, Greylock Partners, GSV capital, Industry Ventures, Interpublic Group of Companies, Kleiner Perkins Caufield & Co, Li Ka-shing, Meritech Capital Partners, Microsoft, Millennium Technology Ventures, T. Rowe Price, The Founders Fund, TripplePoint Capital and Western Technology Investors.",{'167058-55P': 'Jim Norris'},167058-55P
64785,64536,RescueTime,52794-46,135800-20T,23/09/2008 00:00,,0.9,,,,,,0.92,Venture Capital,Seed Round,Actual,,"{'106007-68': 'Christopher Sacca (Christopher Sacca)', '223079-77': 'Michael Seckler (Michael Seckler)', '223080-40': 'Mike Koss (Mike Koss)', '106015-06': 'Timothy Ferriss (Timothy Ferriss)', '11321-29': 'True Ventures (Christiaan Vorkink)', '40420-36': 'Y Combinator'}","Christopher Sacca, Michael Seckler, Mike Koss, True Ventures",,,,,,,"The company raised $900,000 of seed funding from True Ventures, Y Combinator and Christopher Sacca on September 23, 2008. Timothy Ferriss, Michael Seckler and Mike Koss also participated in the round.","True Ventures, Y Combinator, Lowercase Capital, Christopher Sacca, Matthew Mullenweg, Timothy Ferriss, Michael Seckler, and Mike Koss sold their stake in the company to an undisclosed buyer.",{'43621-03P': 'Brian Fioca'},43621-03P
66671,66422,CarWoo,51122-80,18676-81T,01/01/2009 00:00,,1.93,2.69,4.62,0.4181,0.18,,2.03,Venture Capital,Seed Round,Actual,Actual,"{'50987-89': 'Accelerator Ventures', '11127-25': 'Blumberg Capital', '11174-86': 'Comcast Ventures (Michael Yang)', '42715-00': 'Felicis', '40420-36': 'Y Combinator'}","Accelerator Ventures, Blumberg Capital, Comcast Ventures, Felicis",,,,,,,"The company raised $1.9 million of seed funding from Comcast Ventures, Blumberg Capital, Accelerator Ventures, Y Combinator, Felicis Ventures, Paul Buchheit, Joshua Schachter and Dave McClure in 2009.","The company is no longer actively in business as of January 21, 2014. The company is no longer actively tracked by PitchBook.",{'38143-27P': 'Robert McClung'},38143-27P
71904,71655,Zecter,51420-25,17942-77T,26/10/2009 00:00,,1.57,,,,0.37,,2.42,Venture Capital,Later Stage VC,Actual,,"{'11272-42': 'Pinnacle Ventures', '51044-86': 'Sherpalo Ventures (Ram Shriram)', '51477-67': 'Tandem Capital', '40420-36': 'Y Combinator'}","Pinnacle Ventures, Sherpalo Ventures, Tandem Capital","{'51044-86': 'Sherpalo Ventures (Ram Shriram)', '51477-67': 'Tandem Capital'}",,,,,,"The company raised $1.57 million of Series C funding led by Sherpalo Ventures and Tandem Entrepreneurs on October 26, 2009. Pinnacle Ventures and Douglas Bergeron also participated.","The company was acquired by Motorola (NYSE: MOT) on December 22, 2010. The company is no longer actively tracked by PitchBook.",,
73020,72771,500friends,53780-32,39558-07T,15/12/2009 00:00,,1.4,,,,,,1.4,Venture Capital,Seed Round,Actual,,"{'106008-76': 'Chris Yeh (Chris Yeh)', '105961-15': 'Donald Hutchison', '109231-48': 'Eric Chen (Eric Chen)', '52116-22': 'Implistic Capital', '106612-84': 'Justin Yoshimura (Justin Yoshimura)', '106128-19': 'Naval Ravikant (Naval Ravikant)', '49922-20': 'Quest Venture Partners (Marcus Ogawa)', '106342-75': 'Richard Chen (Richard Chen)', '40420-36': 'Y Combinator'}","Chris Yeh, Donald Hutchison, Eric Chen, Implistic Capital, Justin Yoshimura, Naval Ravikant, Quest Venture Partners, Richard Chen, Y Combinator",,,,,,,"The company raised $1.4 million of seed funding from Alex Le, Steve Newcomb, Richard Chen, Anurag (Anu) Nigam, David Li, Quest Venture Partners, Implistic Capital, Y Combinator, Chris Yeh, Babak Nivi, Jeff Fluhr, Dan Martin, Don Hutchinson, Richard Chen and Naval Ravikant on December 15, 2009. Eric Chen also participated.","The company was acquired by Merkle, via undisclosed investors, through an LBO on November 18, 2014 for an undisclosed sum. The company is no longer actively tracked by PitchBook.",{'40129-30P': 'Justin Yoshimura'},40129-30P
76943,76694,Chartio,53342-92,36606-61T,01/06/2010 00:00,,1.3,,,,,,1.3,Venture Capital,Seed Round,Actual,,"{'11122-12': 'Avalon Ventures (Richard Levandov)', '106113-34': 'Bill Boebel (Bill Boebel)', '60596-83': 'DreamHost', '106022-62': 'Jeff Hammerbacher (Jeff Hammerbacher)', '105949-45': 'Kenny Van Zant (Kenny Van Zant)', '106036-75': 'Matthew Ocko (Matthew Ocko)', '106231-33': 'Vikas Gupta (Vikas Gupta)', '40420-36': 'Y Combinator', '106270-66': 'Zachary Weinberg (Zachary Weinberg)'}","Avalon Ventures, Bill Boebel, DreamHost, Jeff Hammerbacher, Kenny Van Zant, Matthew Ocko, Vikas Gupta, Zachary Weinberg",,,,,,,"The company raised $1.3 million of seed funding from Y Combinator, Avalon Ventures, DreamHost and individual investors: Jeff Hammerbacher, Kenny Van Zant, Vikas Gupta, Matt Ocko, Bill Boebel and Zachary Weinberg in June 2010.","The company was acquired by Atlassian (NAS: TEAM) for $45.56 million on February 26, 2021. The consideration consisted of $45.0 million in cash and $0.6 million in equity. The acquisition brought an analytics and data visualization solution to Atlassian's products, including Jira Software, Jira Align and Jira Service Management.",{'50639-95P': 'David Fowler'},50639-95P
77746,77497,InboxQ,54038-98,20860-39T,01/07/2010 00:00,,1.2,3.35,4.55,0.2635,0.28,,1.2,Venture Capital,Seed Round,Actual,Actual,"{'106007-68': 'Christopher Sacca (Christopher Sacca)', '51661-18': 'Hinge Capital', '106049-26': 'Jean-Francois Clavier (Jean-Francois Clavier)', '41895-55': 'Lowercase Capital', '52912-00': 'PivotNorth Capital', '11320-66': 'Trinity Ventures', '48176-38': 'Uncork Capital', '11335-42': 'Western Technology Investment', '40420-36': 'Y Combinator'}","Christopher Sacca, Hinge Capital, Jean-Francois Clavier, Lowercase Capital, PivotNorth Capital, Trinity Ventures, Uncork Capital, Western Technology Investment",,,,,,,"The company raised $1.2 million in seed funding from Trinity Ventures, WTI and Venture51 in July 2010, putting the pre-money valuation at $3.35 million. Y Combinator, PivotNorth Capital, John Bautista, Jeff Clavier, Chris Sacca and Tim Connors also participated in the round.","The company went out of business on June 1, 2013. The company is no longer being actively tracked by PitchBook.",{'40510-81P': 'Joe Fahrner'},40510-81P
79291,79042,indinero,50972-59,60498-19T,10/09/2010 00:00,,1.2,,,,,,1.22,Venture Capital,Seed Round,Actual,,"{'51006-88': '500 Global', '55271-44': 'Acequia Capital', '227193-49': 'Catapult VC', '106498-99': 'Christina Brodbeck (Christina Brodbeck)', '105976-18': 'David McClure (David McClure)', '106435-09': 'David Wu (David Wu)', '106091-65': 'Fritz Lanman (Fritz Lanman)', '105894-55': 'Hadi Partovi (Hadi Partovi)', '106069-96': 'Jawed Karim (Jawed Karim)', '105983-38': 'Jeremy Stoppelman (Jeremy Stoppelman)', '54468-28': 'K5 Ventures', '106093-90': 'Keith Rabois (Keith Rabois)', '106361-65': 'Steve Blank (Steve Blank)', '40420-36': 'Y Combinator'}","500 Global, Acequia Capital, Catapult VC, Christina Brodbeck, David McClure, David Wu, Fritz Lanman, Hadi Partovi, Jawed Karim, Jeremy Stoppelman, K5 Ventures, Keith Rabois, Steve Blank",{'54468-28': 'K5 Ventures'},,,,,,"The company raised $1.5 million in seed funding from Y Combinator, 500 Startups, K5 Ventures and Catapult VC on September 10, 2010. Acequia Capital, David Wu and 8 other investors also participated in the round. Originally, the funding was raised in the form of convertible debt and subsequently got converted into equity.","The company raised $2 million of venture funding in the form of options from RTL Group Investments, Mario Martinez, and JP Patil on March 26, 2021. Other undisclosed investors also participated in the round.",{'35396-11P': 'Jessica Mah'},35396-11P
80310,80061,AeroFS,54036-28,29596-51T,20/10/2010 00:00,,1.2,,,,,,1.2,Other,Accelerator/Incubator,Actual,,"{'56092-96': 'ACE & Company', '106033-87': 'Ashton Kutcher (Ashton Kutcher)', '106530-67': 'Ashvin Patel (Ashvin Patel)', '107540-47': 'Chih-Yuan Yang (Chih-Yuan Yang)', '106007-68': 'Christopher Sacca (Christopher Sacca)', '106015-96': 'Geoff Ralston (Geoff Ralston)', '106541-83': 'Maynard Webb (Maynard Webb)', '106128-19': 'Naval Ravikant (Naval Ravikant)', '52296-76': 'Webb Investment Network', '40420-36': 'Y Combinator (Paul Buchheit)'}","ACE & Company, Ashton Kutcher, Ashvin Patel, Chih-Yuan Yang, Christopher Sacca, Geoff Ralston, Maynard Webb, Naval Ravikant, Webb Investment Network, Y Combinator",,,,,,,"The company joined Y Combinator as a part of Summer 2010 Class and received $1.2 million in funding on October 20, 2010. ACE & Company, Webb Investment Network and 7 other angel investors also participated in the transaction.","The company was acquired by RedBooth for an undisclosed amount on September 13, 2017. The merger of the AeroFS and Redbooth platforms will create a compelling competitive advantage over current one-off solutions on the market, and eliminate the need for work teams to be relegated to use five or six separate solutions for all their collaboration needs. This company is no longer tracked by pitchbook .",{'40506-94P': 'Yuri Sagalov'},40506-94P
82489,82240,Citus Data,54711-19,21767-95T,01/01/2011 00:00,,2.26,,,,,,2.26,Venture Capital,Seed Round,Actual,,"{'51468-67': 'Bullpen Capital', '224040-97': 'Felix Shpilman (Felix Shpilman)', '105986-71': 'Ullas Naik (Ullas Naik)', '40420-36': 'Y Combinator'}","Bullpen Capital, Felix Shpilman, Ullas Naik, Y Combinator",,,,,,,The company raised $2.26 million of Seed funding from Y Combinator and Bullpen Capital in 2011. Ullas Naik also participated.,"The company was acquired by Microsoft (NAS: MSFT) for an undisclosed amount on January 24, 2019.",{'41989-69P': 'Umur Cubukcu'},41989-69P
82504,82255,Zapier,55509-31,22610-80T,01/01/2011 00:00,,1.3,11.7,13,0.1,0.25,,1.3,Venture Capital,Early Stage VC,Actual,Actual,"{'10134-73': 'Bessemer Venture Partners', '110351-80': 'Brant Bukowsky (Brant Bukowsky)', '109486-54': 'Cindy Bi (Cindy Bi)', '11166-58': 'Draper Fisher Jurvetson Management', '224040-97': 'Felix Shpilman (Felix Shpilman)', '472228-30': 'Jonathan Murray (Jonathan Murray)', '105918-76': 'Kevin Hale (Kevin Hale)', '472228-48': 'Kim Miller (Kim Miller)', '122474-17': 'Mackey Craven (Mackey Craven)', '106097-68': 'Michael Liou (Michael Liou)', '472228-39': 'Michael Stachowiak (Michael Stachowiak)', '100760-41': 'Permanent Equity (Brent Beshore)', '107882-74': 'Salesforce Ventures', '50980-60': 'SV Angel', '40420-36': 'Y Combinator', '61745-95': 'Zillionize'}","Bessemer Venture Partners, Brant Bukowsky, Cindy Bi, Draper Fisher Jurvetson Management, Felix Shpilman, Jonathan Murray, Kevin Hale, Kim Miller, Mackey Craven, Michael Liou, Michael Stachowiak, Permanent Equity, Salesforce Ventures, SV Angel, Y Combinator, Zillionize",,,,,,,"The company raised $1.3 million of Series AA venture funding from Salesforce Ventures, Permanent Equity, and Bessemer Venture Partners on January 1, 2011, putting the company's pre-money valuation at $11.7 million. Salesforce Ventures, Zillionize, Y Combinator, SV Angel and 9 individual investors also participated in the round.","Draper Fisher Jurvetson Management sold a stake in the company to Sequoia Capital and STEADFAST Capital Ventures on January 14, 2021.",{'43967-17P': 'Mike Knoop'},43967-17P
82513,82264,Segment,56013-76,24120-82T,01/01/2011 00:00,,2,10,12,0.1667,0.7,,2,Other,Accelerator/Incubator,Actual,Actual,"{'105986-62': 'Thomas McInerney (Thomas McInerney)', '40420-36': 'Y Combinator'}","Thomas McInerney, Y Combinator",{'40420-36': 'Y Combinator'},,,,,,"The company joined Y Combinator as a part of the Summer 2011 Class and received $2 million in funding in 2011, putting the company's pre-money valuation at $10 million. Thomas McInerney also participated in the transaction.","The company was acquired by Twilio (NYS: TWLO) for $3 billion on November 2, 2020. The transaction will accelerate Twilio's growth with a combined total addressable market of $79 billion, bringing Twilio one step closer to achieving the company's vision of becoming the world's leading customer engagement platform trusted by developers and companies globally. i-Qu & Co also exited in this round.",{'46243-45P': 'Peter Reinhardt'},46243-45P
83421,83172,HelloSign,55857-70,23556-97T,01/02/2011 00:00,28/01/2011 00:00,2.01,7.99,10,0.2009,0.61,,2.13,Venture Capital,Early Stage VC,Actual,Actual,"{'106053-40': 'Benjamin Ling (Benjamin Ling)', '106135-03': 'Bill Lee (Bill Lee)', '106165-45': 'Brett Crosby (Brett Crosby)', '265033-90': 'Charles Overy', '265034-26': 'Courtney Broadus', '106385-86': 'David Friedberg (David Friedberg)', '166868-11': 'Douglas Carlisle (Douglas Carlisle)', '106041-70': 'Elad Gil (Elad Gil)', '265034-44': 'Eric Altendorf', '105876-64': 'Eric Ries (Eric Ries)', '265034-62': 'Godrey Mungal', '11191-96': 'Greylock Partners', '49063-60': 'GV (Dave Munichiello)', '106069-96': 'Jawed Karim (Jawed Karim)', '265034-71': 'Jeff King', '106040-17': 'Joichi Ito (Joichi Ito)', '105974-65': 'Jonathan Abrams (Jonathan Abrams)', '106310-08': 'Joshua Reeves (Joshua Reeves)', '106093-90': 'Keith Rabois (Keith Rabois)', '265035-07': 'Kevin Maher', '124610-41': 'MIke Bergelson (MIke Bergelson)', '265035-16': 'Osama Bedler', '105967-00': 'Othman Laraki (Othman Laraki)', '106054-30': 'Paul Buchheit', '106457-41': 'Ronald Bouganim (Ronald Bouganim)', '265035-34': 'Sahil Lavingia', '106296-13': 'Scott Crosby', '105968-71': 'Semil Shah (Semil Shah)', '62571-52': 'Silicon Jungles', '52173-28': 'Start Fund', '50980-60': 'SV Angel', '11318-77': 'US Venture Partners (Jacques Benkoski)', '40420-36': 'Y Combinator', '106639-30': 'Zachary Bogue (Zachary Bogue)'}","Benjamin Ling, Bill Lee, Brett Crosby, Charles Overy, Courtney Broadus, David Friedberg, Douglas Carlisle, Elad Gil, Eric Altendorf, Eric Ries, Godrey Mungal, Greylock Partners, GV, Jawed Karim, Jeff King, Joichi Ito, Jonathan Abrams, Joshua Reeves, Keith Rabois, Kevin Maher, MIke Bergelson, Osama Bedler, Othman Laraki, Paul Buchheit, Ronald Bouganim, Sahil Lavingia, Scott Crosby, Semil Shah, Silicon Jungles, Start Fund, SV Angel, US Venture Partners, Zachary Bogue",,,,,,,"The company raised $2.01 million of Series A venture funding from GV, SV Angel and US Venture Partners on February 1, 2011, putting the company's pre-money valuation at $7.99 million. Greylock Partners, Start Fund, Y Combinator, Silicon Straits, Semil Shah, Joshua Reeves, Paul Buchheit, Bill Lee, Charles Overy, Courtney Broadus, Douglas Carlisle, Eric Altendorf, Eric Ries, Godrey Mungal, Jawed Karim, Jeff King, Kevin Maher, Mike Bergelson, Osama Bedler, Ron Bouganim, Sahil Lavingia, Benjamin Ling, David Friedberg, Elad Gil, Keith Rabois, Othman Laraki, Brett Crosby, Joi Ito, Jonathan Abrams, Scott Crosby and Zachary Bogue also participated in this round.","The company was acquired by Dropbox (NAS: DBX) for $177.9 million on February 8, 2019. The acquisition provides a potential opportunity to Dropbox to further expand enterprise sales and win more share of the customer wallet.",{'45392-14P': 'Joseph Walla'},45392-14P
